URL,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl,0.748,0.627,-6.029,0.0639,0.131,0,0.0852,0.524,120.963
https://open.spotify.com/track/004q4eDxR33ci4f8m4flwl,0.838,0.703,-6.195,0.05,0.768,1.56E-06,0.0861,0.658,104.982
https://open.spotify.com/track/007QSAaELpVxtX5Z6dMn0U,0.598,0.95,-3.345,0.1,0.0412,0,0.664,0.642,174.057
https://open.spotify.com/track/007d7JT41sSc1HqWTs4uw7,0.619,0.762,-6.738,0.0692,0.00304,0,0.122,0.324,122.916
https://open.spotify.com/track/009Zz28Vgvnc5FvMXs6dEm,0.552,0.578,-9.318,0.336,0.395,0,0.146,0.59,89.662
https://open.spotify.com/track/009j4tQyJC53rmgTuXil9E,0.543,0.373,-10.504,0.0303,0.702,2.89E-06,0.107,0.245,114.956
https://open.spotify.com/track/00BuKLSAFkaEkaVAgIMbeA,0.825,0.832,-5.853,0.0403,0.00587,0.000789,0.114,0.713,122.021
https://open.spotify.com/track/00C47repvBYiWwkfE99faH,0.47,0.475,-6.73,0.0321,0.451,0,0.134,0.209,123.852
https://open.spotify.com/track/00D7fT49Q54HNiaaLY32UA,0.541,0.672,-4.956,0.113,0.198,0,0.112,0.146,120.061
https://open.spotify.com/track/00DcwM45CMDjGChnoFRQ6y,0.782,0.566,-7.498,0.257,0.00648,1.45E-05,0.221,0.0568,156.012
https://open.spotify.com/track/00FOgV1ZRgn6oBk6mIoGLm,0.553,0.23,-11.98,0.0464,0.878,0,0.111,0.472,139.142
https://open.spotify.com/track/00ILPz7zUhws80p3Yp10mG,0.424,0.815,-4.185,0.0282,0.431,0.0332,0.913,0.142,89.87
https://open.spotify.com/track/00JZgGi6ZTM4jAvJcp4oIv,0.743,0.454,-5.522,0.0719,0.201,0.0504,0.11,0.714,144.981
https://open.spotify.com/track/00KYp2gYHW3xzzy8MPGmJI,0.498,0.302,-8.892,0.0313,0.952,0.00664,0.182,0.447,139.513
https://open.spotify.com/track/00LfFm08VWeZwB0Zlm24AT,0.662,0.748,-3.041,0.268,0.688,8.43E-06,0.0841,0.535,82.331
https://open.spotify.com/track/00NN2wAxnycdqQ78ESg9qm,0.675,0.653,-6.356,0.404,0.284,4.56E-06,0.11,0.339,177.134
https://open.spotify.com/track/00O9avMuHNp6htjCyVj6e1,0.577,0.562,-10.842,0.113,0.44,0.00874,0.116,0.141,196.04
https://open.spotify.com/track/00RTuCqRSWa8hAhirgg8Lp,0.635,0.807,-5.831,0.054,0.00755,0,0.0872,0.567,154.994
https://open.spotify.com/track/00Ro1lnV3V6i87aY4t8Q43,0.571,0.755,-7.907,0.0735,0.142,2.55E-05,0.136,0.875,107.951
https://open.spotify.com/track/00VWUa96Clte4uNEv963vn,0.603,0.538,-8.948,0.232,0.442,4.89E-05,0.101,0.339,128.359
https://open.spotify.com/track/00Wb1S380G9KTypBNDXOJq,0.859,0.694,-8.414,0.119,0.433,0.00081,0.364,0.933,130.039
https://open.spotify.com/track/00Wbi90nyiEUUfpGxddi2x,0.572,0.651,-5.15,0.031,0.0174,0,0.157,0.12,148.02
https://open.spotify.com/track/00X2yv2vrtritPt2CZnUTZ,0.784,0.7,-7.649,0.108,0.491,0,0.108,0.769,82.028
